id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province,Median_Price
AVwdQ3CzIN2L1WUft-Lq,1107 Olive St,"Pizza Place Downtown East,Pizza Place",Accommodation & Food Services,Saint Louis,US,us/mo/saintlouis/1107olivest/1594732756,38.628915,-90.195749,,5.99,5.99,,Pizza Steak Sub,Maurizios Pizza and Pasta Bowl,63101,0,25,MO,5.99
AVwdJIVqkufWRAb52udn,1846 S 12th St,Pizza Place,Accommodation & Food Services,Philadelphia,US,us/pa/philadelphia/1846s12thst/516514185,39.926386,-75.165476,,7.0,7.0,,Plain Pizza,Key Pizza,19148,0,25,PA,7.0
AVzA1ntt3D1zeR_xBACX,1084 Wilmot Rd,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Scarsdale,US,us/ny/scarsdale/1084wilmotrd/-1536471204,40.984578,-73.777588,,14.99,14.99,,Pizza with Ham and Green Peppers,Italian Village Pizza,10583,25,40,NY,14.64
AVwciF38IN2L1WUfl_NU,933 E University Dr,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Tempe,US,us/az/tempe/933euniversitydr/-357061096,33.421198,-111.925059,,7.99,7.99,,Guss Pizza Sub,Guss New York Style Pizza,85281,25,40,AZ,7.99
AVwdXk9AIN2L1WUfvFro,224 S Bridge St,Pizza Place,Accommodation & Food Services,Elkton,US,us/md/elkton/224sbridgest/275592494,39.602665,-75.82961,,15.99,15.99,,Buffalo Chicken Pizza,Pats Pizzeria,21921,0,25,MD,14.99
AWEmtzGN3-Khe5l_foGj,9047 E. Baseline Rd.,"Buffet,Pizza Place",Accommodation & Food Services,Mesa,US,us/az/mesa/9047e.baselinerd./-1589891696,33.378746,-111.638521,,14.99,14.99,,Chicago Classic Pizza,Peter Piper Pizza,85208,0,25,AZ,14.99
AVwdIj1u_7pvs4fz2mEk,6048 Rossville Blvd,Pizza Place,Accommodation & Food Services,Essex,US,us/md/essex/6048rossvilleblvd/-346602119,39.33409,-76.477199,,12.99,12.99,,Bacon Cheeseburger Pizza,Bello Vitos,21221,0,25,MD,7.99
AVwdTy18_7pvs4fz4hKr,109 Franklin St,"Restaurant,Pizza Place",Accommodation & Food Services,Brooklyn,US,us/ny/brooklyn/109franklinst/396305449,40.729763,-73.95753,,25.0,25.0,,Chicken and Tomato Pizza,Franklin Pizza,11222,0,25,NY,19.0
AVwcn6oTIN2L1WUfnEHE,4042 24th St,"Restaurant,Pizza Place",Accommodation & Food Services,San Francisco,US,us/ca/sanfrancisco/404224thst/293134281,37.75143,-122.432856,,12.99,12.99,,"12"" Cheese Pizza",Patxi’s Pizza,94114,25,40,CA,14.49
AVwcsfet_7pvs4fzx9tu,8123 Ridge Rd,Pizza Place,Accommodation & Food Services,Port Richey,US,us/fl/portrichey/8123ridgerd/-1197451798,28.280991,-82.680089,,6.0,6.0,Served with french fries,Kids Pizza,Alpha Pizza,34668,0,25,FL,8.725000000000001
AVwdEqgLIN2L1WUfr74E,175 S Main St,Pizza Place,Accommodation & Food Services,Morrisville,US,us/pa/morrisville/175smainst/852784863,40.236428,-74.83164,,5.75,5.75,,Pizza Steak,Francos Tomato Pies,19067,0,25,PA,5.75
AVwdAITZIN2L1WUfrMWt,513 E Oglethorpe Ave,Pizza Place,Accommodation & Food Services,Savannah,US,us/ga/savannah/513eoglethorpeave/630529076,32.074957,-81.087512,,13.95,13.95,,"Jumbo 18"" Cheese Pizza",Screamin Mimis Pizza And Subs,31401,0,25,GA,16.95
AVwctrN8ByjofQCxhXcc,318 E Washington St,Pizza Place,Accommodation & Food Services,Belleville,US,us/il/belleville/318ewashingtonst/795778821,38.51237,-89.979237,,18.99,8.99,"We top our crust with our alfredo sauce and layer on chicken, mushrooms, bacon, onions, and diced fresh tomatoes.",Alfredo Pizza,Papa Vitos Pizza,62220,0,25,IL,13.489999999999998
AVwddyaekufWRAb56Lt6,1282 E Powell Rd,"Restaurant,Pizza Place",Accommodation & Food Services,Lewis Center,US,us/oh/lewiscenter/1282epowellrd/2134443140,40.156198,-83.001083,,5.99,5.99,,Pizza Sub,Tarantos Pizzeria,43035,0,25,OH,5.99
AV0VkBx2FcQ3k02bD9PD,770 S Meadows Pkwy Ste 103,"Pizza Place,Restaurants",Accommodation & Food Services,Reno,US,us/nv/reno/770smeadowspkwyste103/572757474,39.438251,-119.756118,,21.0,21.0,,Medium Pizza Offers,Papa Johns Pizza,89521,0,25,NV,20.994999999999997
AVzA_phlLD2H7whiWI_U,11636 W Broad St,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Glen Allen,US,us/va/glenallen/11636wbroadst/-1954321356,37.653011,-77.613387,,3.39,3.39,,Specialty Pizza Slice,Two Guys Pizza,23060,0,25,VA,3.39
AWEH8QnFa4HuVbedLpXY,2417 14th,Pizza Place,Accommodation & Food Services,Gulfport,US,us/ms/gulfport/241714th/-1209834366,30.368069,-89.092309,,14.75,14.75,,Meat Lover's Pizza,Tonys Brick Oven Pizzeria,39501,0,25,MS,14.75
AVwdzWxrByjofQCxsooF,2217 Elliston Pl,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Nashville,US,us/tn/nashville/2217ellistonpl/-220954908,36.151254,-86.804068,,7.99,7.99,American thin.,Regular Crust Pizza,Obies Pizza,37203,0,25,TN,7.99
AVzRVoJq3D1zeR_xBV5e,4141 Manzanita Ave,"Restaurant,Pizza Place",Accommodation & Food Services,Carmichael,US,us/ca/carmichael/4141manzanitaave/568331704,38.640666,-121.328287,,13.99,13.99,,Everest Pizza,Mountain Mikes Pizza,95608,0,25,CA,13.99
AVwdZ7MkByjofQCxoxEc,1004 Kings Hwy,Pizza Place,Accommodation & Food Services,Lewes,US,us/de/lewes/1004kingshwy/1388074784,38.760778,-75.145791,,12.5,12.5,,Pizza of The Month,Mr Ps Pizza,19958,0,25,DE,10.625
AVwc7nchByjofQCxjwVO,110 N Main St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Mount Pleasant,US,us/mi/mountpleasant/110nmainst/2024461158,43.604819,-84.776472,http://www.citysearch.com/profile/menu/5353052?singlePlatformId=pisanellos-pizza,14.34,14.34,,Our Blended Cheese Pizza,Pisanellos Pizza,48858,0,25,MI,10.305
AVzA9PTmLD2H7whiWHeO,4529 Duke St,"Pizza,Carry-out food,Pizza Place,Restaurants",Accommodation & Food Services,Alexandria,US,us/va/alexandria/4529dukest/572757474,38.812965,-77.110592,http://www.citysearch.com/profile/menu/603971822?singlePlatformId=papa-johns-pizza-3280,12.0,12.0,,Any Large Pizza,Papa Johns Pizza,22304,0,25,VA,12.0
AVwdfZmA_7pvs4fz6Z3K,3001 Delta Fair Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Antioch,US,us/ca/antioch/3001deltafairblvd/1977261556,37.99891,-121.838561,,0.0,0.0,lemon pepper spiced chicken with zucchini onion and cilantro with our garlic cheese sauce,Lemon Pepper Chicken Pizza,Straw Hat Pizza,94509,0,25,CA,0.0
AV_HlgcoRxPSIh2RnCWD,1368 N Arizona Ave Ste 101,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Chandler,US,us/az/chandler/1368narizonaaveste101/-2067893850,33.327123,-111.842775,,19.99,19.99,,XLarge 1Topping Pizza ampamp 10 Wings,Pizza On 87,85225,0,25,AZ,19.99
AVzsxs4MLD2H7whiX1yU,223 W Mill St,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Waterloo,US,us/il/waterloo/223wmillst/795778821,38.3358,-90.1531,http://www.citysearch.com/profile/menu/36842295?singlePlatformId=papa-vitos-pizza-2,6.99,6.99,,Cheese Pizza,Papa Vito's Pizza,62298,0,25,IL,6.99
AVwdNEjpIN2L1WUftT5s,1225 S 10th St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Noblesville,US,us/in/noblesville/1225s10thst/-2068016097,40.035328,-86.01213,http://www.yellowpages.com/noblesville-in/mip/pizza-king-6573235/menu,0.0,0.0,all your favorite pizza toppings covered with cheese and served on a very hot plate We rec the 10ampquot size,Meat Feast Pizza on a Plate  No Dough,Pizza King,46060,0,25,IN,0.0
AVwdlWZ_ByjofQCxqi2o,3901 Mary Eliza Trace,"Restaurant,Pizza Place",Accommodation & Food Services,Marietta,US,us/ga/marietta/3901maryelizatrace/-1303164644,33.966886,-84.665362,,12.5,12.5,,Pizza,Marietta Pizza Company,30064,0,25,GA,12.5
AVwdMqWBByjofQCxmiZ3,12277 Capital Blvd,"Pizza,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Wake Forest,US,us/nc/wakeforest/12277capitalblvd/298778836,35.981014,-78.540873,,17.99,14.49,Available only in medium and large,Stuffed Pizza,PTA Pizza Hoagie,27587,0,25,NC,17.99
AVwdq2Ng_7pvs4fz8LXz,1956 Bacon St,"Brewery,Pizza Place",Management of Companies & Enterprises,San Diego,US,us/ca/sandiego/1956baconst/-261572058,32.748009,-117.250295,,8.25,8.25,,Pizza Laguna,Pizza Port Brewing Company,92107,25,40,CA,8.25
AVwdpjMOByjofQCxrMvq,212 Rutledge Ave,"Pizza,Pizza Place Cannonborough - Elliottborough,Pizza Place,Restaurants",Accommodation & Food Services,Charleston,US,us/sc/charleston/212rutledgeave/-401574744,32.789445,-79.946849,,20.99,20.99,,Supreme Pizza,Mia Pomodori,29403,0,25,SC,17.49
AVzxn8vtFcQ3k02bDLZT,18050 Business 13 Unit B,Pizza Place,Accommodation & Food Services,Reeds Spring,US,us/mo/reedsspring/18050business13unitb/963179301,36.695625,-93.369907,,8.0,8.0,,The Greek Pizza,Pizza By The Chef,65737,0,25,MO,8.0
AVwcfAAZkufWRAb5vovP,1029 Massachusetts St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants,Pizza Place Oread",Accommodation & Food Services,Lawrence,US,us/ks/lawrence/1029massachusettsst/1388456248,38.9651,-95.236,,15.99,8.99,,Taco Pizza,Pyramid Pizza,66044,0,25,KS,15.99
AVwc_nqo_7pvs4fz1JOb,15601 S Harlem Ave,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Orland Park,US,us/il/orlandpark/15601sharlemave/-528902546,41.608957,-87.793849,,10.95,10.95,,"Pizza, Pop, Salad, Bread and Butter",Traversos Pizza Restaurant,60462,0,25,IL,10.95
AVwddxTNByjofQCxpZIm,10402 Atlantic Ave,"Pizza,Restaurant,Pizza Place,Pizza Restaurant",Accommodation & Food Services,Ozone Park,US,us/ny/ozonepark/10402atlanticave/-1900139689,40.690068,-73.840815,http://www.singlepage.com/luigis-pizza-105,8.0,8.0,,Build A Pizza,Luigis Pizza,11416,0,25,NY,7.625
AVweCQWm_7pvs4fz_dr8,1107 Rutland Rd,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Brooklyn,US,us/ny/brooklyn/1107rutlandrd/1763694843,40.664732,-73.923207,,11.0,11.0,,BBQ Chicken Pizza,Tonys Pizza,11212,0,25,NY,11.0
AVwdMDwK_7pvs4fz3MPe,1829 Deer Park Ave,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Deer Park,US,us/ny/deerpark/1829deerparkave/1763694843,40.758695,-73.327918,,17.0,17.0,,Peter Cooper Pizza,Tonys Pizza,11729,0,25,NY,15.5
AVwcgFbxByjofQCxe7cj,126 California Blvd,"Pizza,Delicatessens,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Davenport,US,us/fl/davenport/126californiablvd/1098382679,28.292761,-81.665247,,5.99,5.99,,Pizzano's Jumbo Garlic Knots,Pizzanos Pizza Grinderz,33897,0,25,FL,6.99
AVwdLDWXIN2L1WUfs9bR,5025 Eastex Fwy,"Pizza,Restaurant,Italian Restaurant,Pizza Place",Accommodation & Food Services,Beaumont,US,us/tx/beaumont/5025eastexfwy/447756399,30.121609,-94.150623,,0.0,0.0,pepperoniampcomma green peppersampcomma onionsampcomma tomatoesampcomma fresh mushroomsampcomma black olives and four cheeses,Lucky 7 Pizza,Mazzios Pizza,77706,0,25,TX,0.0
AVwdD5lOByjofQCxlGa0,4704 Riverdale Rd,Pizza Place,Accommodation & Food Services,Riverdale,US,us/md/riverdale/4704riverdalerd/-1149801178,38.962046,-76.93484,,8.89,8.89,"White Pizza with Feta, Olives, Gyros Meat, Onions and Tomato",Greek Pizza,Dumms Pizza,20737,0,25,MD,8.89
AVwcseNKByjofQCxhKV7,16505 Heil Ave,Pizza Place,Accommodation & Food Services,Westminster,US,us/ca/westminster/16505heilave/-1839141581,33.722834,-117.972326,,8.99,8.99,,Create Your Own Cheese Pizza,Danos Pizzeria,92683,0,25,CA,19.49
AVwd9JpfByjofQCxt_KP,2200 Winter Springs Blvd,"Restaurant,Pizza Place",Accommodation & Food Services,Oviedo,US,us/fl/oviedo/2200winterspringsblvd/1770159848,28.672778,-81.224444,,7.99,7.99,carry out plus taxes,Large 3 Topping Pizza,Little Caesars Pizza,32765,0,25,FL,7.99
AVwdfPl3IN2L1WUfwTuQ,3111 Glendale Blvd,Pizza Place,Accommodation & Food Services,Los Angeles,US,us/ca/losangeles/3111glendaleblvd/1313269059,34.116565,-118.260933,,17.99,17.99,,2 Small 2 Topping Pizzas,Crispy Crust Pizza,90039,0,25,CA,19.99
AVwcmZL_kufWRAb5w-Ns,319 N Frances St,Pizza Place,Accommodation & Food Services,Madison,US,us/wi/madison/319nfrancesst/-1212638352,43.072948,-89.395637,,12.5,12.5,,Taco Pizza,Ians Pizza by the Slice,53703,0,25,WI,12.5
AVzBIZXd-gnIPe8DSkQQ,5225 Canyon Crest Dr,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Riverside,US,us/ca/riverside/5225canyoncrestdr/1278277272,33.956641,-117.331733,,21.95,14.45,,Bbq Chicken Pizza,Romanos Family Italian Restaurant,92507,25,40,CA,21.95
AVwcrayCkufWRAb5x2Be,207 W Johnstown Rd,"Bar,Pizza Place,Pub",Accommodation & Food Services,Columbus,US,us/oh/columbus/207wjohnstownrd/1430086476,40.017252,-82.885452,,15.0,15.0,,Buffalo Chicken Pizza,The Pub in Gahanna,43230,0,25,OH,15.0
AVzA86JZLD2H7whiWHCH,849 E Commerce St Ste 157,"Italian Restaurant,Pizza Place",Accommodation & Food Services,San Antonio,US,us/tx/sanantonio/849ecommercestste157/772241688,29.42357,-98.484701,,9.99,9.99,,Pizza Al Formaggio,Luciano Express Rivercenter Mall,78205,25,40,TX,9.99
AVzA-H2w-gnIPe8DSfgv,2133 Lohmans Crossing Rd,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Austin,US,us/tx/austin/2133lohmanscrossingrd/-726116558,30.34222,-97.969935,,2.99,2.99,,Kids Pizza,Mangieris Pizza Cafe,78734,25,40,TX,12.99
AVwc1L40kufWRAb5zezY,5604 Greene St,"Restaurant,Pizza Place",Accommodation & Food Services,Philadelphia,US,us/pa/philadelphia/5604greenest/275723174,40.033556,-75.175527,,21.95,21.95,,1 XLgampcomma Pizzaampcomma 1 Spaghetti With Meatballs Or Sausageampcomma Garden Salad ampamp 12 Liter Soda,Giovannis Pizza,19144,0,25,PA,14.95
AVwejj0U_7pvs4fzEHWK,101 N Harbor Blvd,"Pizza,Restaurant,Italian,Pizza Place",Accommodation & Food Services,Fullerton,US,us/ca/fullerton/101nharborblvd/-729789003,33.870623,-117.924458,http://www.fuocopizza.com/our-menu.html,8.0,8.0,"Nutella, crushed hazelnuts, sliced strawberries and bananas, dusted with powdered sugar",Nutella Pizza,Fuoco Pizzeria Napoletana,92832,0,25,CA,8.0
AWEH5t8xIxWefVJwwddG,1201 S. Ocean Blvd. (A1A),"Bar,Pizza Place",Accommodation & Food Services,Pompano Beach,US,us/fl/pompanobeach/1201s.oceanblvd.(a1a)/-120838256,26.222717,-80.091804,,13.95,13.95,,Mexican Pizza,Stingers Bar Pizzaria,33062,25,40,FL,13.95
AVwcxMEeIN2L1WUfor9r,75 Lafayette Ave,Pizza Place,Accommodation & Food Services,Suffern,US,us/ny/suffern/75lafayetteave/94775439,41.11518,-74.150799,,8.99,8.99,,"12"" Personal Thin Crust Pizza",Il Villaggio Pizzeria,10901,0,25,NY,11.185
AVwdd50i_7pvs4fz6MRM,8343 W Irving Park Rd,Pizza Place,Accommodation & Food Services,Chicago,US,us/il/chicago/8343wirvingparkrd/-1410733454,41.951933,-87.836669,,18.25,18.25,,Daily Special Gourmet Margherita Pizza,Lonnies Pizzeria,60634,0,25,IL,18.25
AVzxlGuI-gnIPe8DURG-,7363 Spout Springs Road,"Pizza,Italian,Food Delivery,Pizza Place,Restaurants",Accommodation & Food Services,Flowery Branch,US,us/ga/flowerybranch/7363spoutspringsroad/-370000215,34.110972,-83.874223,,8.49,8.49,,Johnny's White Pizza,Johnnys New York Style Pizza,30542,25,40,GA,8.99
AVwdhvy9_7pvs4fz6xOr,1431 NC Highway 68 N,"Pizza,Pizza Place,Restaurants,Bars",Accommodation & Food Services,Oak Ridge,US,us/nc/oakridge/1431nchighway68n/-331318591,36.164904,-79.984403,http://www.yellowpages.com/oak-ridge-nc/mip/bills-pizza-pub-451182282/menu,17.8,13.55,,Pizza Pub Special,Bills Pizza Pub,27310,0,25,NC,11.05
AVwc7Ow_kufWRAb50fOR,4582 State St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Saginaw,US,us/mi/saginaw/4582statest/806349183,43.438692,-84.006524,,19.98,10.99,,Pizza Italiano,Good Times Pizza,48603,0,25,MI,19.98
AVzA1SjE3D1zeR_xA_vv,17649 Union Tpke,Pizza Place,Accommodation & Food Services,Fresh Meadows,US,us/ny/freshmeadows/17649uniontpke/1604901033,40.725954,-73.791734,,19.0,19.0,,Regina Special Pizza,Reginas Pizzeria,11366,0,25,NY,19.0
AVwda-pu_7pvs4fz5uDB,41 N Baldwin Ave,Pizza Place,Accommodation & Food Services,Sierra Madre,US,us/ca/sierramadre/41nbaldwinave/121226173,34.162741,-118.052691,,17.9,17.9,,Chipotle Pizza,Villagio Pizzeria,91024,0,25,CA,16.65
AVwdAFUHByjofQCxkenI,285 S Broadway,"Restaurant,Pizza Place",Accommodation & Food Services,Hicksville,US,us/ny/hicksville/285sbroadway/1476249327,40.76265,-73.516777,,16.45,16.45,,Pizza Al Buono Gusto,Dantes Pizzeria,11801,0,25,NY,16.95
AVz_Zi04FcQ3k02bDl-l,1502 Highway 17 N,"Pizza,American Restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Myrtle Beach,US,us/sc/myrtlebeach/1502highway17n/1520871519,33.623753,-78.970276,,18.99,8.99,,Pizzano Pizza,Ultimate California Pizza,29575,0,25,SC,18.99
AVzwD5usLD2H7whiX3YX,391 N Royal Poinciana Blvd,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",Accommodation & Food Services,Miami,US,us/fl/miami/391nroyalpoincianablvd/1060321556,25.826305,-80.287501,,14.0,13.0,,Pizza Bianca,Romans Pizzeria,33166,0,25,FL,14.0
AVwc7kSnkufWRAb50ivk,4312 MacArthur Blvd,"Pizza,Restaurant,Indian,Pizza Place,Restaurants",Accommodation & Food Services,Oakland,US,us/ca/oakland/4312macarthurblvd/-937907245,37.78713,-122.194414,,5.5,5.5,,Chicken Asiago Pizza Wrap,Razzos,94619,0,25,CA,5.5
AVwc-vyskufWRAb51C5E,3600 Cutler Ave NE,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",Accommodation & Food Services,Albuquerque,US,us/nm/albuquerque/3600cutleravene/92939062,35.08161,-106.61275,,9.0,9.0,,Pizza Combo,Amore,87110,25,40,NM,9.0
AVzA3XZR-gnIPe8DSd1g,616 Amsterdam Ave,"Restaurant,Pizza Place",Accommodation & Food Services,New York,US,us/ny/newyork/616amsterdamave/14468463,40.79013,-73.973197,,8.0,8.0,,Meatball Pizza,Famous Amadeus Pizza,10024,0,25,NY,8.0
